index,combination,occasion,vote_average,vote_count,rating_count,mean_rating,skin tone
1,WHITE SHIRT WITH BLACK TROUSER,INTERVIEW,6.5,7577,295,4.33,MEDIUM DARK
2,LIGHT BLUE SHIRT WITH BLACK TROUSER AND RED TIE ,INTERVIEW,8.9,8638,327,4.97,MEDIUM DARK
3,WHITE SHIRT WITH BLACK TROUSER,INTERVIEW,9,468,397,4.11,MEDIUM DARK
4,WHITE SHIRT WITH BROWN TROUSER,INTERVIEW,6.8,9386,238,4.7,MEDIUM DARK
5,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,INTERVIEW,8.6,753,329,4.08,MEDIUM DARK
6,SKY BLUE SHIRT WITH BROWN TROUSER,INTERVIEW,9.8,8368,288,4.74,MEDIUM DARK
7,PINK SHIRT WITH BLACK TROUSER,INTERVIEW,7.1,3863,398,4.01,MEDIUM DARK
8,LIGHT BLUE SHIRT WITH BLACK TROUSER AND NAVY BLUE TIE WITH LINES,INTERVIEW,7.3,5848,311,4.77,MEDIUM DARK
9,GREY SHIRT WITH  BROWN TROUSER,INTERVIEW,6.2,3763,224,4.01,MEDIUM DARK
10,RED SHIRT WITH BLUE TROUSER,INTERVIEW,9.3,4737,315,4.77,MEDIUM DARK
11,RED SHIRT WITH  GREY TROUSER,INTERVIEW,8.3,3747,278,3.9,MEDIUM DARK
12,BLUE SHIRT WITH BLUE TROUSER,INTERVIEW,6.2,3737,302,4.01,MEDIUM DARK
13,CREON SHIRT WITH BLUE TROUSER,INTERVIEW,9.4,9637,290,4.6,MEDIUM DARK
14,VIOLET SHIRT WITH BLACK TROUSER,INTERVIEW,6.3,846,312,4.54,MEDIUM DARK
15,WHITE SHIET WITH DARK BLUE TROUSER,INTERVIEW,5.8,964,362,4.81,MEDIUM DARK
16,LIGHT YELLOW SHIRT WITH BROWN TROUSER,INTERVIEW,6.4,8375,370,4.38,MEDIUM DARK
17,WHITE SHIRT WITH DARK BLUE TROUSER AND RED TIE,INTERVIEW,8.3,1475,257,4.22,MEDIUM DARK
18,LIGHT GREEN SHIRT WITH BLACK TROUSER,INTERVIEW,9,24673,297,4.29,MEDIUM DARK
19,WHITE SHIRT WITH OLIVE GREEN TROUSER,INTERVIEW,6.8,5727,371,4.04,MEDIUM DARK
20,LEMON YELLOW SHIRT WITH  GREY TROUSER,INTERVIEW,8.6,3758,334,4.75,MEDIUM DARK
21,LIGHT YELLOW SHIRT WITH BLACK TROUSER AND RED TIE,BATCH PARTY ,9.8,8684,236,3.65,MEDIUM DARK
22,SHERWANI,BATCH PARTY ,7.1,8844,285,4.08,MEDIUM DARK
23,WHITE SHIRT WITH BLACK TROUSER,BATCH PARTY ,5.8,8357,296,4.74,MEDIUM DARK
24,DHOTI KURTA,BATCH PARTY ,6.4,8373,384,4.01,MEDIUM DARK
25,BLACK SUIT WITH TUXEDO,BATCH PARTY ,8.3,5362,220,4.25,MEDIUM DARK
26,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,BATCH PARTY ,9,2627,317,4.76,MEDIUM DARK
27,BLUE SHIRT WITH BLUE TROUSER,BATCH PARTY ,6.8,4967,320,4.86,MEDIUM DARK
28,JACQUARD SYMMETRIC SHERWANI,BATCH PARTY ,8.6,3804,284,4.77,MEDIUM DARK
29,LIGHT PINK SHERVANI WITH WHITE KURTA,BATCH PARTY ,9.3,9004,317,4.63,MEDIUM DARK
30,WHITE SHIRT WITH DARK BLUE TROUSER,BATCH PARTY ,8.8,6058,293,3.99,MEDIUM DARK
31,RAYON JODHPURI SUIT IN BEIGE,BATCH PARTY ,7.9,3467,385,4.19,MEDIUM DARK
32,NEHRU JACKET BLACK WITH WHITE WEAR,BATCH PARTY ,9.3,475,262,4.55,MEDIUM DARK
33,BLACK KURTA PAYJAMA,BATCH PARTY ,7.5,3737,372,4.94,MEDIUM DARK
34,PINK T-SHIRT WITH LIGHT BLUE JEANS,BATCH PARTY ,6.8,357,210,4.26,MEDIUM DARK
35,T-SHIRT WITH JEANS AND BLACK LEATHER,BATCH PARTY ,6.9,5477,334,4.27,MEDIUM DARK
36,CHECK SHIRTS WITH FINE DEGIEN,BATCH PARTY ,7.2,9352,236,4.73,MEDIUM DARK
37,GREEN KURTA WITH WHITE PAJAMA,BATCH PARTY ,9.1,9455,285,4.73,MEDIUM DARK
38,GREEN POLO SHIRT LIGHT BLACK SHADE JEANS,BATCH PARTY ,8.3,8046,290,4.97,MEDIUM DARK
39,DARK BLUE SHIRT WITH BLACK PANT,BATCH PARTY ,7.9,9030,312,4.11,MEDIUM DARK
40,WHITE T- SHIRT WITH BLACK JEANS,BATCH PARTY ,7.3,6844,362,4.7,MEDIUM DARK
41,SAAFFRON SHIRT WITH WHITE DHOTI,GET TOGETHER,7.5,468,370,4.08,MEDIUM DARK
42,MEHROOM SHERWANI,GET TOGETHER,8.4,4574,254,4.74,MEDIUM DARK
43,WHITE SHIRT WITH BLACK TROUSER,GET TOGETHER,8.1,128,375,4.01,MEDIUM DARK
44,YELLOW DHOTI KURTA,GET TOGETHER,6.8,2468,274,4.77,MEDIUM DARK
45, KURTA PAJAMA,GET TOGETHER,8.4,2494,344,3.9,MEDIUM DARK
46,JACQUARD SYMMETRIC SHERWANI,GET TOGETHER,7.9,9457,286,4.01,MEDIUM DARK
47,BLACK PATHANI SUIT,GET TOGETHER,9.3,3678,317,4.6,MEDIUM DARK
48,ACHKAN BLUE COLOUR,GET TOGETHER,7.5,7435,293,4.22,MEDIUM DARK
49,GREEN SHERWANI,GET TOGETHER,6.8,2463,385,4.29,MEDIUM DARK
50,RED JODHPURI SUIT ,GET TOGETHER,6.9,928,334,4.04,MEDIUM DARK
51,KURTA WITH BLUE OUTLINES WITH YELLOW BORDER,GET TOGETHER,7.8,8004,236,4.75,MEDIUM DARK
52,RED SHERWANI WITH PINK PAGRI,GET TOGETHER,8.4,6054,285,3.65,MEDIUM DARK
53,WHITE SHIRT NAVY BLUE PANT,GET TOGETHER,7.9,5823,290,4.83,MEDIUM DARK
54,GREEN SHORT KURTA NAVY BLUE JEANS,GET TOGETHER,9.3,9533,312,4.88,MEDIUM DARK
55,PRINTED KURTA WITH JACKET COMBO,GET TOGETHER,7.5,6937,288,4.13,MEDIUM DARK
