index,combination,occasion,vote_avg,vote_count,RATING COUNT,MEAN RATING,gender,skin_colour,combination,skin_tone
1,WHITE SHIRT WITH BLACK TROUSER,INTERVIEW,6.5,7577,295,4.33,MALE,MEDIUM FAIR,WHITE SHIRT WITH BLACK TROUSER,MEDIUM FAIR  WHITE SHIRT WITH BLACK TROUSER
2,LIGHT BLUE SHIRT WITH BLACK TROUSER AND RED TIE ,INTERVIEW,8.9,8638,327,4.97,MALE,MEDIUM FAIR,LIGHT BLUE SHIRT WITH BLACK TROUSER AND RED TIE ,MEDIUM FAIR  LIGHT BLUE SHIRT WITH BLACK TROUSER AND RED TIE 
3,WHITE SHIRT WITH BLACK TROUSER,INTERVIEW,9,468,397,4.11,MALE,MEDIUM FAIR,WHITE SHIRT WITH BLACK TROUSER,MEDIUM FAIR  WHITE SHIRT WITH BLACK TROUSER
4,WHITE SHIRT WITH BROWN TROUSER,INTERVIEW,6.8,9386,238,4.7,MALE,MEDIUM FAIR,WHITE SHIRT WITH BROWN TROUSER,MEDIUM FAIR  WHITE SHIRT WITH BROWN TROUSER
5,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,INTERVIEW,8.6,753,329,4.08,MALE,MEDIUM FAIR,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,MEDIUM FAIR  LIGHT BLUE SHIRT WITH DARK BLUE TROUSER
6,SKY BLUE SHIRT WITH BROWN TROUSER,INTERVIEW,9.8,8368,288,4.74,MALE,MEDIUM FAIR,SKY BLUE SHIRT WITH BROWN TROUSER,MEDIUM FAIR  SKY BLUE SHIRT WITH BROWN TROUSER
7,PINK SHIRT WITH BLACK TROUSER,INTERVIEW,7.1,3863,398,4.01,MALE,MEDIUM FAIR,PINK SHIRT WITH BLACK TROUSER,MEDIUM FAIR  PINK SHIRT WITH BLACK TROUSER
8,LIGHT BLUE SHIRT WITH BLACK TROUSER AND NAVY BLUE TIE WITH LINES,INTERVIEW,7.3,5848,311,4.77,MALE,MEDIUM FAIR,LIGHT BLUE SHIRT WITH BLACK TROUSER AND NAVY BLUE TIE WITH LINES,MEDIUM FAIR  LIGHT BLUE SHIRT WITH BLACK TROUSER AND NAVY BLUE TIE WITH LINES
9,GREY SHIRT WITH  BROWN TROUSER,INTERVIEW,6.2,3763,224,4.01,MALE,MEDIUM FAIR,GREY SHIRT WITH  BROWN TROUSER,MEDIUM FAIR  GREY SHIRT WITH  BROWN TROUSER
10,RED SHIRT WITH BLUE TROUSER,INTERVIEW,9.3,4737,315,4.77,MALE,MEDIUM FAIR,RED SHIRT WITH BLUE TROUSER,MEDIUM FAIR  RED SHIRT WITH BLUE TROUSER
11,RED SHIRT WITH  GREY TROUSER,INTERVIEW,8.3,3747,278,3.9,MALE,MEDIUM FAIR,RED SHIRT WITH  GREY TROUSER,MEDIUM FAIR  RED SHIRT WITH  GREY TROUSER
12,BLUE SHIRT WITH BLUE TROUSER,INTERVIEW,6.2,3737,302,4.01,MALE,MEDIUM FAIR,BLUE SHIRT WITH BLUE TROUSER,MEDIUM FAIR  BLUE SHIRT WITH BLUE TROUSER
13,CREON SHIRT WITH BLUE TROUSER,INTERVIEW,9.4,9637,290,4.6,MALE,MEDIUM FAIR,CREON SHIRT WITH BLUE TROUSER,MEDIUM FAIR  CREON SHIRT WITH BLUE TROUSER
14,VIOLET SHIRT WITH BLACK TROUSER,INTERVIEW,6.3,846,312,4.54,MALE,MEDIUM FAIR,VIOLET SHIRT WITH BLACK TROUSER,MEDIUM FAIR  VIOLET SHIRT WITH BLACK TROUSER
15,WHITE SHIET WITH DARK BLUE TROUSER,INTERVIEW,5.8,964,362,4.81,MALE,MEDIUM FAIR,WHITE SHIET WITH DARK BLUE TROUSER,MEDIUM FAIR  WHITE SHIET WITH DARK BLUE TROUSER
16,LIGHT YELLOW SHIRT WITH BROWN TROUSER,INTERVIEW,6.4,8375,370,4.38,MALE,MEDIUM FAIR,LIGHT YELLOW SHIRT WITH BROWN TROUSER,MEDIUM FAIR  LIGHT YELLOW SHIRT WITH BROWN TROUSER
17,WHITE SHIRT WITH DARK BLUE TROUSER AND RED TIE,INTERVIEW,8.3,1475,257,4.22,MALE,MEDIUM FAIR,WHITE SHIRT WITH DARK BLUE TROUSER AND RED TIE,MEDIUM FAIR  WHITE SHIRT WITH DARK BLUE TROUSER AND RED TIE
18,LIGHT GREEN SHIRT WITH BLACK TROUSER,INTERVIEW,9,24673,297,4.29,MALE,MEDIUM FAIR,LIGHT GREEN SHIRT WITH BLACK TROUSER,MEDIUM FAIR  LIGHT GREEN SHIRT WITH BLACK TROUSER
19,WHITE SHIRT WITH OLIVE GREEN TROUSER,INTERVIEW,6.8,5727,371,4.04,MALE,MEDIUM FAIR,WHITE SHIRT WITH OLIVE GREEN TROUSER,MEDIUM FAIR  WHITE SHIRT WITH OLIVE GREEN TROUSER
20,LEMON YELLOW SHIRT WITH  GREY TROUSER,INTERVIEW,8.6,3758,334,4.75,MALE,MEDIUM FAIR,LEMON YELLOW SHIRT WITH  GREY TROUSER,MEDIUM FAIR  LEMON YELLOW SHIRT WITH  GREY TROUSER
21,LIGHT YELLOW SHIRT WITH BLACK TROUSER AND RED TIE,PARTY WEAR,9.8,8684,236,3.65,MALE,MEDIUM FAIR,LIGHT YELLOW SHIRT WITH BLACK TROUSER AND RED TIE,MEDIUM FAIR  LIGHT YELLOW SHIRT WITH BLACK TROUSER AND RED TIE
22,SHERWANI,FRESHERS,7.1,8844,285,4.08,MALE,MEDIUM FAIR,SHERWANI,MEDIUM FAIR  SHERWANI
23,WHITE SHIRT WITH BLACK TROUSER,FRESHERS,5.8,8357,296,4.74,MALE,MEDIUM FAIR,WHITE SHIRT WITH BLACK TROUSER,MEDIUM FAIR  WHITE SHIRT WITH BLACK TROUSER
24,DHOTI KURTA,FRESHERS,6.4,8373,384,4.01,MALE,MEDIUM FAIR,DHOTI KURTA,MEDIUM FAIR  DHOTI KURTA
25,BLACK SUIT WITH TUXEDO,FRESHERS,8.3,5362,220,4.25,MALE,MEDIUM FAIR,BLACK SUIT WITH TUXEDO,MEDIUM FAIR  BLACK SUIT WITH TUXEDO
26,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,FRESHERS,9,2627,317,4.76,MALE,MEDIUM FAIR,LIGHT BLUE SHIRT WITH DARK BLUE TROUSER,MEDIUM FAIR  LIGHT BLUE SHIRT WITH DARK BLUE TROUSER
27,BLUE SHIRT WITH BLUE TROUSER,FRESHERS,6.8,4967,320,4.86,MALE,MEDIUM FAIR,BLUE SHIRT WITH BLUE TROUSER,MEDIUM FAIR  BLUE SHIRT WITH BLUE TROUSER
28,JACQUARD SYMMETRIC SHERWANI,FRESHERS,8.6,3804,284,4.77,MALE,MEDIUM FAIR,JACQUARD SYMMETRIC SHERWANI,MEDIUM FAIR  JACQUARD SYMMETRIC SHERWANI
29,LIGHT PINK SHERVANI WITH WHITE KURTA,FRESHERS,9.3,9004,317,4.63,MALE,MEDIUM FAIR,LIGHT PINK SHERVANI WITH WHITE KURTA,MEDIUM FAIR  LIGHT PINK SHERVANI WITH WHITE KURTA
30,WHITE SHIRT WITH DARK BLUE TROUSER,FRESHERS,8.8,6058,293,3.99,MALE,MEDIUM FAIR,WHITE SHIRT WITH DARK BLUE TROUSER,MEDIUM FAIR  WHITE SHIRT WITH DARK BLUE TROUSER
31,RAYON JODHPURI SUIT IN BEIGE,FRESHERS,7.9,3467,385,4.19,MALE,MEDIUM FAIR,RAYON JODHPURI SUIT IN BEIGE,MEDIUM FAIR  RAYON JODHPURI SUIT IN BEIGE
32,NEHRU JACKET BLACK WITH WHITE WEAR,FRESHERS,9.3,475,262,4.55,MALE,MEDIUM FAIR,NEHRU JACKET BLACK WITH WHITE WEAR,MEDIUM FAIR  NEHRU JACKET BLACK WITH WHITE WEAR
33,BLACK KURTA PAYJAMA,FRESHERS,7.5,3737,372,4.94,MALE,MEDIUM FAIR,BLACK KURTA PAYJAMA,MEDIUM FAIR  BLACK KURTA PAYJAMA
34,PINK T-SHIRT WITH LIGHT BLUE JEANS,FRESHERS,6.8,357,210,4.26,MALE,MEDIUM FAIR,PINK T-SHIRT WITH LIGHT BLUE JEANS,MEDIUM FAIR  PINK T-SHIRT WITH LIGHT BLUE JEANS
35,T-SHIRT WITH JEANS AND BLACK LEATHER,FRESHERS,6.9,5477,334,4.27,MALE,MEDIUM FAIR,T-SHIRT WITH JEANS AND BLACK LEATHER,MEDIUM FAIR  T-SHIRT WITH JEANS AND BLACK LEATHER
36,CHECK SHIRTS WITH FINE DEGIEN,FRESHERS,7.2,9352,236,4.73,MALE,MEDIUM FAIR,CHECK SHIRTS WITH FINE DEGIEN,MEDIUM FAIR  CHECK SHIRTS WITH FINE DEGIEN
37,GREEN KURTA WITH WHITE PAJAMA,FRESHERS,9.1,9455,285,4.73,MALE,MEDIUM FAIR,GREEN KURTA WITH WHITE PAJAMA,MEDIUM FAIR  GREEN KURTA WITH WHITE PAJAMA
38,GREEN POLO SHIRT LIGHT BLACK SHADE JEANS,FRESHERS,8.3,8046,290,4.97,MALE,MEDIUM FAIR,GREEN POLO SHIRT LIGHT BLACK SHADE JEANS,MEDIUM FAIR  GREEN POLO SHIRT LIGHT BLACK SHADE JEANS
39,DARK BLUE SHIRT WITH BLACK PANT,FRESHERS,7.9,9030,312,4.11,MALE,MEDIUM FAIR,DARK BLUE SHIRT WITH BLACK PANT,MEDIUM FAIR  DARK BLUE SHIRT WITH BLACK PANT
40,WHITE T- SHIRT WITH BLACK JEANS,FRESHERS,7.3,6844,362,4.7,MALE,MEDIUM FAIR,WHITE T- SHIRT WITH BLACK JEANS,MEDIUM FAIR  WHITE T- SHIRT WITH BLACK JEANS
41,SAAFFRON SHIRT WITH WHITE DHOTI,GET TOGETHER,7.5,468,370,4.08,MALE,MEDIUM FAIR,SAAFFRON SHIRT WITH WHITE DHOTI,MEDIUM FAIR  SAAFFRON SHIRT WITH WHITE DHOTI
42,MEHROOM SHERWANI,GET TOGETHER,8.4,4574,254,4.74,MALE,MEDIUM FAIR,MEHROOM SHERWANI,MEDIUM FAIR  MEHROOM SHERWANI
43,WHITE SHIRT WITH BLACK TROUSER,GET TOGETHER,8.1,128,375,4.01,MALE,MEDIUM FAIR,WHITE SHIRT WITH BLACK TROUSER,MEDIUM FAIR  WHITE SHIRT WITH BLACK TROUSER
44,YELLOW DHOTI KURTA,GET TOGETHER,6.8,2468,274,4.77,MALE,MEDIUM FAIR,YELLOW DHOTI KURTA,MEDIUM FAIR  YELLOW DHOTI KURTA
45, KURTA PAJAMA,GET TOGETHER,8.4,2494,344,3.9,MALE,MEDIUM FAIR, KURTA PAJAMA,MEDIUM FAIR   KURTA PAJAMA
46,JACQUARD SYMMETRIC SHERWANI,GET TOGETHER,7.9,9457,286,4.01,MALE,MEDIUM FAIR,JACQUARD SYMMETRIC SHERWANI,MEDIUM FAIR  JACQUARD SYMMETRIC SHERWANI
47,BLACK PATHANI SUIT,GET TOGETHER,9.3,3678,317,4.6,MALE,MEDIUM FAIR,BLACK PATHANI SUIT,MEDIUM FAIR  BLACK PATHANI SUIT
48,ACHKAN BLUE COLOUR,GET TOGETHER,7.5,7435,293,4.22,MALE,MEDIUM FAIR,ACHKAN BLUE COLOUR,MEDIUM FAIR  ACHKAN BLUE COLOUR
49,GREEN SHERWANI,GET TOGETHER,6.8,2463,385,4.29,MALE,MEDIUM FAIR,GREEN SHERWANI,MEDIUM FAIR  GREEN SHERWANI
50,RED JODHPURI SUIT ,GET TOGETHER,6.9,928,334,4.04,MALE,MEDIUM FAIR,RED JODHPURI SUIT ,MEDIUM FAIR  RED JODHPURI SUIT 
51,KURTA WITH BLUE OUTLINES WITH YELLOW BORDER,GET TOGETHER,7.8,8004,236,4.75,MALE,MEDIUM FAIR,KURTA WITH BLUE OUTLINES WITH YELLOW BORDER,MEDIUM FAIR  KURTA WITH BLUE OUTLINES WITH YELLOW BORDER
52,RED SHERWANI WITH PINK PAGRI,GET TOGETHER,8.4,6054,285,3.65,MALE,MEDIUM FAIR,RED SHERWANI WITH PINK PAGRI,MEDIUM FAIR  RED SHERWANI WITH PINK PAGRI
53,WHITE SHIRT NAVY BLUE PANT,GET TOGETHER,7.9,5823,290,4.83,MALE,MEDIUM FAIR,WHITE SHIRT NAVY BLUE PANT,MEDIUM FAIR  WHITE SHIRT NAVY BLUE PANT
